entry_id,text,reading,selection,floor_for,assigned_upos,assigned_frames,profile_count,readingSupport,heteronym,cedict,commonness,grammarEvidence,predicate,reading_verdict,role_verdict,notes
word:寬:ㄎㄨㄢ1,寬,ㄎㄨㄢ1,floor,grammarEvidence,ADJ|PART,adpositional-complement|avalent|intransitive,2,moe-concised,single-reading,absent,tier-2,strong-10-plus,predicate,,,
word:影帝:ㄧㄥ3-ㄉㄧ4,影帝,ㄧㄥ3 ㄉㄧ4,base,,NOUN,avalent,1,moe-concised,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:慰安:ㄨㄟ4-ㄢ1,慰安,ㄨㄟ4 ㄢ1,base,readingSupport|predicate,VERB,intransitive,1,moe-revised-fallback,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:暴動:ㄅㄠ4-ㄉㄨㄥ4,暴動,ㄅㄠ4 ㄉㄨㄥ4,base,,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,moderate-3-9,non-predicate,,,
word:樓盤:ㄌㄡ2-ㄆㄢ2,樓盤,ㄌㄡ2 ㄆㄢ2,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,no-projection,single-reading,unique-record,tier-4,weak-1-2,non-predicate,,,
word:熟悉:ㄕㄡ2-ㄒㄧ1,熟悉,ㄕㄡ2 ㄒㄧ1,base,commonness,ADJ,intransitive,1,moe-concised,single-reading,absent,tier-1,weak-1-2,predicate,,,
word:調入:ㄉㄧㄠ4-ㄖㄨ4,調入,ㄉㄧㄠ4 ㄖㄨ4,base,readingSupport|cedict|predicate,VERB,transitive,1,no-projection,single-reading,unique-record,tier-4,weak-1-2,predicate,,,
word:諂媚:ㄔㄢ3-ㄇㄟ4,諂媚,ㄔㄢ3 ㄇㄟ4,base,,VERB,intransitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:豬籠草:ㄓㄨ1-ㄌㄨㄥ2-ㄘㄠ3,豬籠草,ㄓㄨ1 ㄌㄨㄥ2 ㄘㄠ3,base,readingSupport,NOUN,avalent,1,moe-revised-fallback,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:撿:ㄐㄧㄢ3,撿,ㄐㄧㄢ3,base,commonness,VERB,transitive,1,moe-concised,single-reading,absent,tier-2,weak-1-2,predicate,,,
word:據點:ㄐㄩ4-ㄉㄧㄢ3,據點,ㄐㄩ4 ㄉㄧㄢ3,base,readingSupport|commonness|grammarEvidence,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,weak-1-2,non-predicate,,,
word:整體:ㄓㄥ3-ㄊㄧ3,整體,ㄓㄥ3 ㄊㄧ3,base,commonness|grammarEvidence,NOUN,avalent,1,moe-concised,single-reading,absent,tier-2,moderate-3-9,non-predicate,,,
word:濃煙:ㄋㄨㄥ2-ㄧㄢ1,濃煙,ㄋㄨㄥ2 ㄧㄢ1,base,,NOUN,avalent,1,moe-concised,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:親臨:ㄑㄧㄣ1-ㄌㄧㄣ2,親臨,ㄑㄧㄣ1 ㄌㄧㄣ2,base,predicate,VERB,open-clausal-complement,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:遲遲:ㄔ2-ㄔ2,遲遲,ㄔ2 ㄔ2,base,commonness,ADV,avalent,1,moe-concised,single-reading,absent,tier-3,weak-1-2,non-predicate,,,
word:錦江:ㄐㄧㄣ3-ㄐㄧㄤ1,錦江,ㄐㄧㄣ3 ㄐㄧㄤ1,base,readingSupport,PROPN,avalent,1,moe-revised-fallback,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:應:ㄧㄥ4,應,ㄧㄥ4,base,heteronym|cedict|commonness|grammarEvidence,ADP|AUX,avalent|intransitive,2,no-projection,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:應當:ㄧㄥ1-ㄉㄤ1,應當,ㄧㄥ1 ㄉㄤ1,base,readingSupport|cedict|commonness|grammarEvidence|predicate,AUX,intransitive,1,moe-concised,single-reading,absent,tier-3,weak-1-2,predicate,,,
word:擊殺:ㄐㄧ1-ㄕㄚ1,擊殺,ㄐㄧ1 ㄕㄚ1,base,readingSupport|cedict|predicate,VERB,transitive,1,no-projection,single-reading,unique-record,tier-4,weak-1-2,predicate,,,
word:臨近:ㄌㄧㄣ2-ㄐㄧㄣ4,臨近,ㄌㄧㄣ2 ㄐㄧㄣ4,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,VERB,transitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:薄:ㄅㄠ2,薄,ㄅㄠ2,floor,heteronym|cedict,ADJ,intransitive,1,no-projection,multi-reading,ambiguous-records,tier-2,weak-1-2,predicate,,,
word:闊綽:ㄎㄨㄛ4-ㄔㄨㄛ4,闊綽,ㄎㄨㄛ4 ㄔㄨㄛ4,base,,ADJ,intransitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:歸還:ㄍㄨㄟ1-ㄏㄨㄢ2,歸還,ㄍㄨㄟ1 ㄏㄨㄢ2,base,,VERB,adpositional-complement|transitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:鎰:ㄧ4,鎰,ㄧ4,base,commonness,PROPN,avalent,1,moe-concised,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
